uterrance_order,transcription,debater,argument,premisse,evidence,claim
0," TESTe Mas o que garante que você mesmo entenda essa nova ferramenta assim, tipo, um filtros limitadores, o que garante que a pessoa não vai usar a outra. É muito leve e aberto. Mas quando você, você parte para a ética, o uso de uma IA normal sem ter filtro nem limitação, você usando com ética é responsabilidade já seria uso correto, não concorda?",DEBATER1,[],[],[],[]
1,Minha identificação é a número 1. Estou contribuindo com a pesquisa no Brasil.,DEBATER1,[],[],[],[]
2,Minha identificação é a número 2. Estou contribuindo com a pesquisa no Brasil.,DEBATER2,[],[],[],[]
3,Minha identificação é a número 3. Estou contribuindo com a pesquisa no Brasil.,DEBATER3,[],[],[],[]
4,"Perfeito, então agora eu vou explicar basicamente, a principal regra do debate, que é antes de mergulharmos em nossa discussão, é essencial que todos compreendam e sigam as regras de debate. Essas regras foram criadas para garantir o debate justo e ordenado para todos os envolvidos. A principal e a essencial regra é sem interrupções. Os debates não devem interromper uns aos outros enquanto alguém estiver falando. Se você deseja contribuir para a discussão ou oferecer um contrato médio, por favor, levante a mão e aguarde o moderador lhe conceder a palavra. Moderador, no caso eu, uma vez que tenha sido autorizado a falar, você terá a palavra e poderá expressar seus pensamentos ou responder aos outros. <ah> Então, explicando o funcionamento, né? Do debate, nós vamos seguir ele, levar para o formato estruturado dividido em 3 momentos distintos, cada um com seu propósito em regras específicas. No momento 1 é abordaremos a questão principal do debate e o objetivo é que cada participante expresse sua opinião inicial sobre o tema central, que é aquele que eu lhes mandei, no momento 2 haverá uma rodada de perguntas e respostas direcionadas para cada um dos debatedores abriremos espaço para os outros participantes contra argumentarem e expressarem as suas opiniões sobre a resposta dada. Após as perguntas direcionadas, teremos uma última pergunta que será direcionada a todos, e nesse momento, vocês têm a Liberdade de escolher se desejam responder ou não e caso sintam, tem algo relevante a acrescentar também ou não? E no fim, é o último momento será de de uma pergunta <an> sobre a sua colocação final sobre o tema, se tem algo que é, enfim, colocação final. Então a gravação já está sendo executada, certo? Quando alguém. E primeiramente, para não terá um momento inicial para para expressar as suas principais opiniões e pensamento sobre o tema. No caso, IA generativa a e cada participante terá um momento para fazer isso, começando pelo debatedor 1.",MODERATOR,[],[],[],[]
5,"Eu acho que com, num certo controle, ela contribuiu muito, principalmente pra a gente que é estudante, por ter um tutor particular, basicamente. E pras outras pessoas também, inclusive. Não só a IA generativa, ela vai além do campo académico, ela contribui numa ampla área do conhecimento, só que você com a IA, tem que também ter esse controle porque como ela aprende com a gente, também pode aprender coisa errada. Isso é um problema porque quando você tem um negócio, por exemplo o ChatGPT, como um público, que várias pessoas contribuem, vai chegar um momento que vira bagunça e , porque você pode contribuir com verdade mas pode vir alguém e cair por terra sua fala, então aí vira uma bagunça. e não é nem controle acho que é importante a fiscalização é muito importante pro avanço de muita coisa. Acho que é isso, por hora.",DEBATER1,"[('argument_1', 0, 147)]","[('premisse_1', 29, 47)]","[('evidence_example_1', 71, 122)]","[('claim_1', 0, 29), ('claim_2', 47, 71), ('claim_3', 122, 140)]"
6,"OK, agora o debatedor número 2.",MODERATOR,[],[],[],[]
7,"Então, eu acho que tem gente que é muito conservador em relação a IA, que é: ""Ah, eu sou contra totalmente, isso está acabando com a gente"". Mas como o debatedor 1 falou, tem que ser usado na medida certa e não só o chat GPT, mas também a IA para a formação de áudio de vídeo, de imagem. Tudo isso eu acho que tem muito a contribuir. Tipo, a gente, ajuda muita gente, só que No campo ético, eu acho que tem gente, tem que ser muito bem pensado, porque é pode ser usada para construir a grandes grandes coisas, tipo em relação <ah>, sei lá, a uma cidade pode criar uma história de uma mentira que pode acabar com a vida assim, na sociedade, na cidade, aí no campo académico, eu também acho que tem gente que se aproveita exacerbadamente do uso da IA e não não ajuda a IA raciocinar mais, raciocina por ela, entendeu?",DEBATER2,"[('argument_1', 0, 158)]","[('premisse_1', 0, 40)]","[('evidence_example_1', 40, 59)]","[('claim_1', 59, 158)]"
8,Agora o Debatedor 3.,MODERATOR,[],[],[],[]
9,"É, pois bem, eu compactuo diretamente com a opinião do número 1 e do número 2 e mas penso que deva haver alguma meio de fiscalizar que essas IAs estão fazendo, porque elas vão seguir ao pé da letra o que você mandar, o que você programar para ela fazer. E acho que é aí que mora o provável problema, né? Porque a partir do momento que uma pessoa programa uma IA pra fazer algo que em teoria traria o bem, mas se for seguido ao pé da letra pode fazer muito muito mal. Aí temos problemas. Um exemplo retirado direto da IA, que eu perguntei pro Chat GPT é: por exemplo, se uma empresa é, mandou uma pessoa criar um código fontezinho só para implementar numa IA é de maneira de acabar com a fome no mundo. Aí vai, implementa. Show de bola, começa a colocar esse IA. Poucos Meses depois alguns navios vão mudar de rota, porque eles são guiados pela IA, aviões que deveriam chegar com alimentos em lugares não vão chegar e algumas regiões vão ser dizimadas. Mas a IA tá cumprindo o papel dela. Se não há pessoas, não há fome. Ah, eu acho que partindo dessa lógica, né? Tem que se haver o policiamento do que essas IAs estão fazendo. A partir do momento que começar a fazer mal à humanidade, tem que ter uma maneira de parar, dar um break, né?",DEBATER3,"[('argument_1', 0, 238)]","[('premisse_1', 0, 18)]","[('evidence_example_1', 97, 196)]","[('claim_1', 18, 97), ('claim_2', 196, 238)]"
10,"Pois bem, então demos inicio uma rodada de perguntas irei realizar uma pergunta para cada participante, que terá seu tempo de resposta e ao final de sua resposta, os demais podem pedir espaço para comentar algo sobre a pergunta feita ou então a resposta dada, comentar, debater, discutir. Então, vamos começar. A primeira pergunta para o debatedor 1. Se um sistema de Ia generativa criar criar algo prejudicial ou ofensivo, por exemplo, uma imagem com conteúdo racista, quem deve ser responsabilizado? O desenvolvedor da IA? usuário? a plataforma que hospeda ou alguma outra instituição ou pessoa?",MODERATOR,[],[],[],[]
11,"Aí você me pega porque é muita gente. É inteligência artificial, ela, aprende com a gente. Então, se se alguém ensinou ela fazer uma coisa específica, ela vai aprender. Então assim foi, por exemplo, você criou IA para determinada coisa eu vou lá ensino outra coisa, isso fica armazenado. Então se a IA gera uma coisa que é um problema, por exemplo, aí tem que ver, né? Porque, tipo, até onde eu vou apontar o dedo, pra quem eu vou apontar o dedo? até onde eu tolero quem fez isso? quem fez isso? Então, eu não acho que dá para perguntar o dedo para uma pessoa específica, porque pode ter sido culpa do criador, pode ter sido culpa do usuário ou da empresa.",DEBATER1,"[('argument_1', 0, 123)]","[('premisse_1', 0, 29), ('premisse_2', 67, 93)]","[('evidence_example_1', 29, 67)]","[('claim_1', 93, 123)]"
12,Pode ser dos 3.,DEBATER3,[],[],[],[]
13,Ou de todos.,DEBATER1,[],[],[],[]
14,Debatedor 3. Quer falar?,MODERATOR,[],[],[],[]
15,"Não só complementar que pode ter sido culpa de tudinho e tudinho pra responder, né? pelo crime.",DEBATER3,[],[],[],[]
16,"Aí eu acho que entra no âmbito de fiscalização, criar regras. Porque quando ela cria quando a IA cria um problema ou alguma coisa que fere direito de alguém, quem vai ser culpado? Não tem isso, não tem uma regra falando, ninguém deve ser culpado e eu acho que não tem lei também, né? Então assim fica complicado culpar alguém.",DEBATER1,"[('argument_1', 0, 60)]","[('premisse_1', 11, 60)]",[],"[('claim_1', 0, 11)]"
17,"Eu acho que é também acho que é complicado culpar alguém. Mas, por exemplo, se um usuário é pedir para a gente, é gerar uma coisa de caráter racista, o usuário tem parte de culpa nisso, mas ele, a IA a IA tá gerando esse conteúdo, porque tem uma base de dados que tem esse caráter racista. Então, como o debatedor 1 falou, eu acho que pode ser culpa de de qualquer pessoa. Qualquer um, o desenvolvedor, a plataforma ou o usuário. E também acho que é aquilo que eu falei da ética na IA do da fiscalização, porque é todos os crimes assim é, podem gerar podem ser gerados por IA, porque como debatedor 3 falou , por exemplo, a história de acabar com a fome no mundo, é pode gerar um crime pelo pela IA.",DEBATER2,"[('argument_1', 0, 137)]","[('premisse_1', 0, 57), ('premisse_2', 82, 112)]","[('evidence_example_1', 112, 137)]","[('claim_1', 57, 82)]"
18,"Indo para outra perspectiva, a gente pode ver parte de culpa do criador, porque como ele criou, ele pode limitar também. Ele pode limitar a IA, então porque ele não limitou isso? Para quando ele recebesse, ela retorna: ""não, isso aqui não é legal, então não vou te responder, não vou aprender isso"". Então eu acho que é assim, parte tem como eu não criar. Não pode ter sido tipo, não intencionalmente, mas porque não me limitar se vai ver ferir o direito de alguém, se não é construtivo para ninguém? Nem para a IA, nem para ele.",DEBATER1,"[('argument_1', 0, 98)]","[('premisse_1', 53, 98)]","[('evidence_example_1', 32, 53)]","[('claim_1', 0, 32)]"
19,Debatedor 3.,MODERATOR,[],[],[],[]
20,"Mas e porquê limitar? Porque limitando você está limitando o processo de desenvolvimento. Logo, talvez ela desenvolvesse para fazer algo, ficaria patinando no mesmo ciclo, não desenvolvesse como a IA tivesse toda a liberdade, poderia desenvolver.",DEBATER3,"[('argument_1', 0, 36)]","[('premisse_1', 13, 36)]",[],"[('claim_1', 0, 13)]"
21,"Eu acho que se tiver alguma coisa assim, que fere algum direito de alguém, é poderia ser, não limitado, mas mas, dado uma resposta, por exemplo: ""Ah, não vou é... criar conteúdos desse caráter, por conta disso, disso e disso"" é, mas ele vai ter a base de dados.",DEBATER2,"[('argument_1', 0, 49)]",[],"[('evidence_example_1', 24, 49)]","[('claim_1', 0, 24)]"
22,"O debatedor 3, falou sobre liberdade do aprendizado da IA. Mas até que ponto uma Liberdade para aprender uma coisa que não é construtiva para ninguém, que fere o direito do outro, até onde isso é liberdade de aprender? Porque não faz sentido. Tu pega, por exemplo, saindo de IA, aplicativo como Instagram, como Twitter, eles já reconhecem conteúdos que são racistas, conteúdos com teor pornográfico. Eles reconhecem. Então IA pode muito bem reconhecer isso. E assim: ""não, bloqueia isso. Eu não vou reter esse conhecimento e não vou retornar nada"", mesmo que o usuário volte lhe pedindo, ele não retorne nada, até porque não faz sentido. Que tipo de conhecimento amplo, é esse que você pode aprender uma coisa que fere o outro?",DEBATER1,"[('argument_1', 0, 124)]","[('premisse_1', 107, 124)]","[('evidence_example_1', 43, 107)]","[('claim_1', 0, 43)]"
23,"Alguém mais quer falar sobre esse ponto? Pois bem, vamos para a segunda pergunta para o debatedor 2. IAs generativas podem ser usadas nos processos educacionais? por exemplo, em aulas em aula, atividades ou provas, o ou a aluna deve reportar ao professor sobre o uso de IA generativas em suas atividades.",MODERATOR,[],[],[],[]
24,"Eu imagino que sim, que pode ser usado, que a IA, por exemplo, eu estava com dúvida em uma questão, e eu estava pensando de uma forma e ela me ajudou a ter um raciocínio de outra forma, mas não copiando tudo. Pode ser, pode ser usado para é ajuda de raciocínios, mas eu acho que nos processos educacionais, os professores, os docentes, qualquer coisa, eles estão se restringindo muito do leque de possibilidades que a IA poderia dar ao a aulas, por exemplo, é uma aula mais interativa ou ajuda, ou pesquisas com os alunos por meio da IA, como uma ferramenta tipo Google. Só que usando GPT, por exemplo, eu acho que ele se restringe muito.",DEBATER2,"[('argument_1', 0, 118)]",[],"[('evidence_example_1', 0, 42), ('evidence_example_1', 82, 118)]","[('claim_1', 42, 82)]"
25,"Concordo plenamente com o debatedor 2. No sentido de restrição, não deve ser restringido, mas aí a gente volta pra ética e pro pro seu senso de uso, tanto de professor como do aluno, porque você está usando para quê? Até que ponto aquilo ali é seu? Até que ponto lhe ajudou? então, dependendo do que você pediu, quanto que você fez? você pegou o resultado que a IA deu para quê? Então tem que ser eu eu não acho que tem que ser restringido, tem que ser aberto a todo a todos, tanto para professor quanto ao aluno, mas com uso responsável.",DEBATER1,"[('argument_1', 0, 103)]","[('premisse_1', 34, 72)]",[],"[('claim_1', 6, 34), ('claim_2', 72, 103)]"
26,"OK, é, eu não vou generalizar tanto. 50% das pessoas não fazem. Eu conheço um bocado de pessoas que, ah, não sei pergunta do chatGPT, me bota a resposta lá, né, Atividade, principalmente no momento de pandemia, é essa coisa muito, muito mais forms lá da vida que só queria a resposta, não importava como você fez. Eu vi muita gente usando desses artifício para passar, tirar notas boas e depois no final, não saber nem o que fez. E inclusive, questão de redações que é, é um negócio que eu tive uma experiência bem de perto mesmo. Algumas pessoas pegam, mandam chatGPT, fazem a redação de qualquer tema. Ele vai fazer, põe outro, 3 palavrinha, inverte o parágrafo outro e manda, tira notas boas. Acho que o conselho acadêmico, deveria haver um jeito também de fazer o chatGPT não dá a resposta pronta, mas mostrar como faz. Eu acho que é tipo um chatGPT acadêmico, né? Seria inovador, diria.",DEBATER3,[],[],"[('evidence_example_1', 0, 160)]",[]
27,Então o debatedor 3 concorda que deveria ser restringido?,DEBATER1,[],[],[],[]
28,"Não, restringido não, criada uma nova ferramenta específica para a educação.",DEBATER3,[],[],[],[]
29,"Mas isso é restringir o uso das IAs, não?",DEBATER2,[],[],[],[]
30,"Você poderá restringir dentro da escola, mas você vai ter a outra justamente de provas. Eu acho que seria importante.",DEBATER3,[],[],[],[]
31,"Mas o que garante que, por exemplo, você mesmo tendo essa nova ferramenta assim com filtros e limitadas, o que garante que a pessoa não vai usar a outra?",DEBATER1,[],[],[],[]
32," É, realmente. A ética, né? princípios.",DEBATER3,[],[],[],[]
33," Concordo, é verdade.",DEBATER3,[],[],[],[]
34,"Exatamente o que ela falou, porque se tu pega, se tu pega e se tu pergunta uma coisa e tu tem um resultado e tu pega ali e usa, tu vai estar pondo em risco tua integridade, a tua ética. E você não está confirmando se aquilo ali é realmente completamente verídico, porque como já a como eu já havia falado, ela está aprendendo, ela está aprendendo coisa errada também. Eu não estou sempre dando resultado e tu não verifica a responsabilidade é tua.",DEBATER1,"[('argument_1', 0, 84)]","[('premisse_1', 40, 69)]",[],"[('claim_1', 0, 40), ('claim_2', 70, 84)]"
